O_+_token,O_+_en,O_+_%,🤣_token,🤣_%,🇰🇼_token,🇰🇼_en,🇰🇼_%,🏡_token,🏡_token_en,🏡_%,IT_token,IT_token_en,IT_%,؟_token,؟_token_en,؟_%,شبرا_token,شبرا_token_en,شبرا_%,كوفيد_token,كوفيد_en_token,كوفيد_%,منصه_مدرستي_token,منصه_مدرستي_token_en,منصه_مدرستي_%,بوابه_المستقبل_token,بوابه_المستقبل_en_token,بوابه_المستقبل_%,الدراسه_مستمره_token,الدراسه_مستمره_token_en,الدراسه_مستمره_%,التعلم_عن_بعد_token,_enالتعلم_عن_بعد_token,التعلم_عن_بعد_%
B_+,B_+,0.534668326377869,😆,0.833312094211578,🇴🇲,🇴🇲,0.661052584648132,📍,📍,0.425086915493012,تخصص,specialty,0.522915601730347,🤔,🤔,0.798721492290497,مدينه,Town,0.360834628343582,كوفيد-,Covid,0.883000612258911,تعليم_جده,Jeddah_Education,0.640661716461182,تعليم_مكه,education_makka,0.495003193616867,المدرسه_الافتراضيه,virtual_school,0.570509254932404,التعليم_عن_بعد,online_education,0.583759248256683
O_-,O_-,0.532682001590729,😁,0.832113802433014,العيد_الوطني_الكويتي,Kuwaiti_national_day,0.60142058134079,للبيع,for sale,0.420928657054901,دبلوم,diploma,0.510451138019562,!,!,0.796691834926605,شارع,Street,0.358621001243591,كوفيد_,Covid,0.863758683204651,لعوده_حضوريه_امنه,For_a_safe_return,0.608273923397064,تعليم_الاحساء,Education_Al-Ahsa,0.46392834186554,منظومه_التعليم_الموحده,unifie_education_system,0.470897823572159,منصه_مدرستي,My_school_platform,0.45219874382019
AB_+,AB_+,0.381146878004074,😜,0.820573031902313,اليوم_الوطني_الكويتي,Kuwaiti_national_day,0.594314873218536,سكني,residential,0.418689548969269,هندسه,engineering,0.50501674413681,ايش,what,0.631421744823456,كوبري,bridge,0.358560681343079,Covid,Covid,0.754549860954285,تعليم_المخواه,Education_Almkhwah,0.601367115974426,تعليم_جده,Jeddah_Education,0.450538992881775,ابقوا_في_منازلكم,Stay_in_your_home,0.468440115451813,بالتعليم_عن_بعد,online_education,0.430656313896179
A_+,A_+,0.354111075401306,😏,0.819418728351593,🇦🇪,🇦🇪,0.58590567111969,بالرياض,Riyadh,0.407172173261642,HR,HR,0.496111243963242,😳,😳,0.625355303287506,طنطا,Tanta,0.356759905815125,بكوفيد,Covid,0.702312588691711,تعليم_الطائف,Taif_education,0.599050581455231,تعليم_الخرج,education_kharj,0.448934763669968,منصتي_مدرستي,My_school_platform,0.434193015098572,تعليم_الزلفي,Education_Zulfi,0.423601388931274
فصيله_دم,Blood_type,0.352176785469055,😅,0.801057040691376,الكويت,Kuwait,0.577200353145599,عقارات_الرياض,real estate_riyadh,0.395456790924072,تخصصات,Specialties,0.492601275444031,🙄,🙄,0.618509471416473,الرحاب,Rehab,0.356109350919723,الكوفيد,Covid,0.693772196769714,الملف_الاعلامي_بوزاره_التعليم,The_media_file_ministry of education,0.592774093151093,التربيه_الفكريه,intellectual_education,0.447976350784302,وزاره_التعليم,Ministry_of_education,0.4082190990448,تعليم_الرياض,Education_Riyadh,0.423311769962311
رقم_الملف,File_number,0.342552751302719,😒,0.796782433986664,🇸🇦,🇸🇦,0.561791598796845,🎯,🎯,0.394610673189163,Design,Design,0.492042630910873,ليش,why,0.60459965467453,القاهره,Cairo,0.351307779550552,كورونا,Covid,0.671478867530823,تعليم_عسير,education_asir,0.592663943767548,تعليم_القصيم,Education_Qassim,0.443393677473068,الذكري_السادسه_للبيعه,6th_Anniversary_For_Sale,0.407311230897903,الفهم_القرائي,reading_comprehension,0.422595351934433
الفصيله_:,Faction_:,0.329361885786057,هه,0.796700477600098,🇶🇦,🇶🇦,0.534609258174896,فلل,Villas,0.391859143972397,science,science,0.487356662750244,هل,Do you,0.595991611480713,المعادي,Maadi,0.351163923740387,كوڤيد,Covid,0.652813136577606,تعليم_مكه,education_makka,0.585455536842346,تعليم_عسير,education_asir,0.438185006380081,شكرا_مدرستي_واسرتي,Thank_you_my_school_my_family,0.394762843847275,لعوده_حضوريه_امنه,For_a_safe_return,0.420791178941727
فئه_A,class_A,0.326430529356003,😂,0.77818489074707,عمان,Amman,0.534188628196716,شقه,flat,0.390493482351303,english,english,0.483235627412796,بالضبط,exactly,0.589394688606262,جنوب,South,0.342538356781006,COVID,Covid,0.605615079402924,تعليم_الرياض,Education_Riyadh,0.581294059753418,الفهم_القرائي,reading_comprehension,0.435841351747513,مدارسنا_باعيننا,Our_schools_with_our_eyes,0.388797014951706,تعليم_الاحساء,Education_Al-Ahsa,0.419863641262054
-_O,-_O,0.313769608736038,😬,0.762484431266785,🇯🇴,🇯🇴,0.533363699913025,دوبلكس,duplex,0.384226769208908,تخصصي,Specialist,0.478168815374374,وليش,why?,0.587116360664368,جزيره,Island,0.338514149188995,بـكوفيد-,Covid,0.600813090801239,تعليم_الرس,education_ras,0.574290990829468,تعليم_الزلفي,Education_Zulfi,0.435184091329575,منظومه_التعليم_الموحد,unified_education_system,0.38197523355484,تعليم_الطائف,Education_Taif,0.418212950229645
محتاجين_دم,need_blood,0.307654082775116,😀,0.761841237545013,الحبيبه,lover,0.525510728359222,المونسيه,monsey,0.381411612033844,web,web,0.477410912513733,وين,where,0.586370289325714,الجيزه,Giza,0.33499801158905,فيروس,Covid,0.561127066612244,تعليم_القصيم,Education_Qassim,0.572998464107513,المساعد_الاداري,Administrative_Assistant,0.43508118391037,الفهم_القرائي,reading_comprehension,0.381056904792786,مكتب_تعليم_جنوب_جده,Office_education_south_Jeddah,0.417288810014725
