O_+_token,O_+_en,O_+_%,🤣_token,🤣_%,🇰🇼_token,🇰🇼_en,🇰🇼_%,🏡_token,🏡_token_en,🏡_%,IT_token,IT_token_en,IT_%,؟_token,؟_token_en,؟_%,شبرا_token,شبرا_token_en,شبرا_%,كوفيد_token,كوفيد_en_token,كوفيد_%,منصه_مدرستي_token,منصه_مدرستي_token_en,منصه_مدرستي_%,بوابه_المستقبل_token,بوابه_المستقبل_en_token,بوابه_المستقبل_%,الدراسه_مستمره_token,الدراسه_مستمره_token_en,الدراسه_مستمره_%,التعلم_عن_بعد_token,_enالتعلم_عن_بعد_token,التعلم_عن_بعد_%,كايرو_token,كايرو_token_en,كايرو_%,ينتصر_token,ينتصر_token_en,ينتصر_%,خريج_token,خريج_token_en,خريج_%,ويجز_token,ويجز_token_en,ويجز_%,🌸_token,🌸_%
B +,B +,0.534668326377869,😆,0.833312094211578,🇴🇲,🇴🇲,0.661052584648132,📍,📍,0.425086915493012,تخصص,specialty,0.522915601730347,🤔,🤔,0.798721492290497,مدينه,Town,0.360834628343582,كوفيد,Covid,0.883000612258911,تعليم جده,Jeddah Education,0.640661716461182,تعليم مكه,Education makka,0.495003193616867,المدرسه الافتراضيه,Virtual school,0.570509254932404,التعليم عن بعد,Online education,0.583759248256683,اسكندريه,Alexandria,0.463820397853851,انتصر,win,0.651455283164978,تخصص,specialty,0.714224278926849,ابيو,Apio,0.755549252033233,🌼,0.782760381698608
O -,O -,0.532682001590729,😁,0.832113802433014,العيد الوطني الكويتي,Kuwaiti national day,0.60142058134079,للبيع,For sale,0.420928657054901,دبلوم,diploma,0.510451138019562,!,!,0.796691834926605,شارع,Street,0.358621001243591,كوفيد,Covid,0.863758683204651,لعوده حضوريه امنه,For a safe return,0.608273923397064,تعليم الاحساء,Education Al Ahsa,0.46392834186554,منظومه التعليم الموحده,Unifie education system,0.470897823572159,منصه مدرستي,My school platform,0.45219874382019,طنطا,Tanta,0.455539584159851,يقاتل,fight,0.646515309810638,هندسه,engineering,0.709075689315796,ابيوسف,Abi Youssef,0.740929901599884,🌺,0.781605124473572
AB +,AB +,0.381146878004074,😜,0.820573031902313,اليوم الوطني الكويتي,Kuwaiti national day,0.594314873218536,سكني,residential,0.418689548969269,هندسه,engineering,0.50501674413681,ايش,what,0.631421744823456,كوبري,bridge,0.358560681343079,Covid,Covid,0.754549860954285,تعليم المخواه,Education Almkhwah,0.601367115974426,تعليم جده,Jeddah Education,0.450538992881775,ابقوا في منازلكم,Stay in your home,0.468440115451813,بالتعليم عن بعد,Online education,0.430656313896179,المنصوره,Mansoura,0.443300604820251,يحارب,fights,0.589158177375793,دبلوم,diploma,0.692773878574371,عفروتو,Afroto,0.694650113582611,🌷,0.773944020271301
A +,A +,0.354111075401306,😏,0.819418728351593,🇦🇪,🇦🇪,0.58590567111969,بالرياض,Riyadh,0.407172173261642,HR,HR,0.496111243963242,😳,😳,0.625355303287506,طنطا,Tanta,0.356759905815125,بكوفيد,Covid,0.702312588691711,تعليم الطائف,Taif education,0.599050581455231,تعليم الخرج,Education kharj,0.448934763669968,منصتي مدرستي,My school platform,0.434193015098572,تعليم الزلفي,Education Zulfi,0.423601388931274,اسوان,aswan,0.42698472738266,يواجه,Faces,0.572411596775055,متخرج,graduate,0.686953544616699,تراكات,Tacks,0.688718259334564,🕊,0.770227968692779
فصيله دم,Blood type,0.352176785469055,😅,0.801057040691376,الكويت,Kuwait,0.577200353145599,عقارات الرياض,Real estate riyadh,0.395456790924072,تخصصات,Specialties,0.492601275444031,🙄,🙄,0.618509471416473,الرحاب,Rehab,0.356109350919723,الكوفيد,Covid,0.693772196769714,الملف الاعلامي بوزاره التعليم,The media file ministry of education,0.592774093151093,التربيه الفكريه,Intellectual education,0.447976350784302,وزاره التعليم,Ministry of education,0.4082190990448,تعليم الرياض,Education Riyadh,0.423311769962311,القاهره,Cairo,0.420923590660095,سينتصر,will win,0.571030914783478,كليه,college,0.678468227386475,التراك,Track,0.677346289157867,🌹,0.759877920150757
رقم الملف,File number,0.342552751302719,😒,0.796782433986664,🇸🇦,🇸🇦,0.561791598796845,🎯,🎯,0.394610673189163,Design,Design,0.492042630910873,ليش,why,0.60459965467453,القاهره,Cairo,0.351307779550552,كورونا,Covid,0.671478867530823,تعليم عسير,Education asir,0.592663943767548,تعليم القصيم,Education Qassim,0.443393677473068,الذكري السادسه للبيعه,6th Anniversary For Sale,0.407311230897903,الفهم القرائي,Reading comprehension,0.422595351934433,المنيا,Minya,0.419825375080109,يستسلم,Give up,0.565940976142883,جامعه,University,0.674919366836548,بابلو,Pablo,0.662078499794006,🍃,0.744366228580475
الفصيله :,Faction :,0.329361885786057,هه,0.796700477600098,🇶🇦,🇶🇦,0.534609258174896,فلل,Villas,0.391859143972397,science,science,0.487356662750244,هل,Do you,0.595991611480713,المعادي,Maadi,0.351163923740387,كوڤيد,Covid,0.652813136577606,تعليم مكه,Education makka,0.585455536842346,تعليم عسير,Education asir,0.438185006380081,شكرا مدرستي واسرتي,Thank you my school my family,0.394762843847275,لعوده حضوريه امنه,For a safe return,0.420791178941727,بورسعيد,Port Said,0.397303938865662,ينهزم,defeated,0.562217175960541,دارس,study,0.65810090303421,بيغني,sing,0.650997281074524,🌿,0.727547585964203
فئه A,Class A,0.326430529356003,😂,0.77818489074707,عمان,Amman,0.534188628196716,شقه,flat,0.390493482351303,english,english,0.483235627412796,بالضبط,exactly,0.589394688606262,جنوب,South,0.342538356781006,COVID,Covid,0.605615079402924,تعليم الرياض,Education Riyadh,0.581294059753418,الفهم القرائي,Reading comprehension,0.435841351747513,مدارسنا باعيننا,Our schools with our eyes,0.388797014951706,تعليم الاحساء,Education Al Ahsa,0.419863641262054,بنها,Banha,0.397214502096176,يخسر,loses,0.559613823890686,خريجه,graduate,0.654100656509399,مارو,Maru,0.636396110057831,⚘,0.694758176803589
- O,- O,0.313769608736038,😬,0.762484431266785,🇯🇴,🇯🇴,0.533363699913025,دوبلكس,duplex,0.384226769208908,تخصصي,Specialist,0.478168815374374,وليش,why?,0.587116360664368,جزيره,Island,0.338514149188995,بـكوفيد-,Covid,0.600813090801239,تعليم الرس,Education ras,0.574290990829468,تعليم الزلفي,Education Zulfi,0.435184091329575,منظومه التعليم الموحد,Unified education system,0.38197523355484,تعليم الطائف,Education Taif,0.418212950229645,اسيوط,Asyut,0.393886387348175,يهزم,beats,0.541775703430176,مدرس,Teacher,0.643766820430756,كايروكي,Cairokee,0.630724549293518,🌻,0.693701326847076
محتاجين دم,Need blood,0.307654082775116,😀,0.761841237545013,الحبيبه,lover,0.525510728359222,المونسيه,monsey,0.381411612033844,web,web,0.477410912513733,وين,where,0.586370289325714,الجيزه,Giza,0.33499801158905,فيروس,Covid,0.561127066612244,تعليم القصيم,Education Qassim,0.572998464107513,المساعد الاداري,Administrative Assistant,0.43508118391037,الفهم القرائي,Reading comprehension,0.381056904792786,مكتب تعليم جنوب جده,Office education south Jeddah,0.417288810014725,ناو,now,0.391844928264618,يسقط,Drops,0.5411337018013,بكالوريوس,bachelor,0.640092611312866,حماقي,Hamaki,0.625211894512177,💐,0.676734924316406
