O_+_token,O_+_%,🤣_token,🤣_%,🇰🇼_token,🇰🇼_%,🏡_token,🏡_%,IT_token,IT_%,؟_token,؟_%,كوفيد_token,كوفيد_%,منصه_مدرستي_token,منصه_مدرستي_%,بوابه_المستقبل_token,بوابه_المستقبل_%,الدراسه_مستمره_token,الدراسه_مستمره_%,التعلم_عن_بعد_token,التعلم_عن_بعد_%,كايرو_token,كايرو_token_en,كايرو_%,ينتصر_token,ينتصر_token_en,ينتصر_%,خريج_token,خريج_token_en,خريج_%,ويجز_token,ويجز_token_en,ويجز_%,🌸_token,🌸_%,🔑_token,🔑_token_en,🔑_%,بنغازي_token,بنغازي_token_en,بنغازي_%,القدس_عربيه_token,القدس_عربيه_token_en,القدس_عربيه_%
B +,0.534668326377869,😆,0.833312094211578,🇴🇲,0.661052584648132,📍,0.425086915493012,تخصص,0.522915601730347,🤔,0.798721492290497,كوفيد-,0.883000612258911,تعليم_جده,0.640661716461182,تعليم_مكه,0.495003193616867,المدرسه_الافتراضيه,0.570509254932404,التعليم_عن_بعد,0.583759248256683,اسكندريه,Alexandria,0.463820397853851,انتصر,win,0.651455283164978,تخصص,specialty,0.714224278926849,ابيو,Apio,0.755549252033233,🌼,0.782760381698608,مفتاح,a key,0.442165493965149,طرابلس,Tripoli,0.797612190246582,فلسطين_عربيه,Palestine_arabic,0.609914302825928
O -,0.532682001590729,😁,0.832113802433014,العيد_الوطني_الكويتي,0.60142058134079,للبيع,0.420928657054901,دبلوم,0.510451138019562,!,0.796691834926605,كوفيد_,0.863758683204651,لعوده_حضوريه_امنه,0.608273923397064,تعليم_الاحساء,0.46392834186554,منظومه_التعليم_الموحده,0.470897823572159,منصه_مدرستي,0.45219874382019,طنطا,Tanta,0.455539584159851,يقاتل,fight,0.646515309810638,هندسه,engineering,0.709075689315796,ابيوسف,Abi Youssef,0.740929901599884,🌺,0.781605124473572,🗝,🗝,0.38557443022728,مصراته,Misrata,0.783043205738068,القدس_لنا,Jerusalem is ours,0.496645361185074
AB +,0.381146878004074,😜,0.820573031902313,اليوم_الوطني_الكويتي,0.594314873218536,سكني,0.418689548969269,هندسه,0.50501674413681,ايش,0.631421744823456,Covid,0.754549860954285,تعليم_المخواه,0.601367115974426,تعليم_جده,0.450538992881775,ابقوا_في_منازلكم,0.468440115451813,بالتعليم_عن_بعد,0.430656313896179,المنصوره,Mansoura,0.443300604820251,يحارب,fights,0.589158177375793,دبلوم,diploma,0.692773878574371,عفروتو,Afroto,0.694650113582611,🌷,0.773944020271301,🎯,🎯,0.362889170646667,درنه,Derna,0.719462454319,ارض_عربيه,Arab_land,0.456079810857773
A +,0.354111075401306,😏,0.819418728351593,🇦🇪,0.58590567111969,بالرياض,0.407172173261642,HR,0.496111243963242,😳,0.625355303287506,بكوفيد,0.702312588691711,تعليم_الطائف,0.599050581455231,تعليم_الخرج,0.448934763669968,منصتي_مدرستي,0.434193015098572,تعليم_الزلفي,0.423601388931274,اسوان,aswan,0.42698472738266,يواجه,Faces,0.572411596775055,متخرج,graduate,0.686953544616699,تراكات,Tacks,0.688718259334564,🕊,0.770227968692779,🅰️,🅰️,0.342000424861908,طبرق,Tobruk,0.675923943519592,القدس_عاصمه,Jerusalem_the capital,0.456078857183456
فصيله دم,0.352176785469055,😅,0.801057040691376,الكويت,0.577200353145599,عقارات_الرياض,0.395456790924072,تخصصات,0.492601275444031,🙄,0.618509471416473,الكوفيد,0.693772196769714,الملف_الاعلامي_بوزاره_التعليم,0.592774093151093,التربيه_الفكريه,0.447976350784302,وزاره_التعليم,0.4082190990448,تعليم_الرياض,0.423311769962311,القاهره,Cairo,0.420923590660095,سينتصر,will win,0.571030914783478,كليه,college,0.678468227386475,التراك,Track,0.677346289157867,🌹,0.759877920150757,#_كلبه_مطيعه,#_obedient_dog,0.334741234779358,ليبيا,Libya,0.651554048061371,فلسطين_ارض,Palestine_land,0.446616142988205
رقم الملف,0.342552751302719,😒,0.796782433986664,🇸🇦,0.561791598796845,🎯,0.394610673189163,Design,0.492042630910873,ليش,0.60459965467453,كورونا,0.671478867530823,تعليم_عسير,0.592663943767548,تعليم_القصيم,0.443393677473068,الذكري_السادسه_للبيعه,0.407311230897903,الفهم_القرائي,0.422595351934433,المنيا,Minya,0.419825375080109,يستسلم,Give up,0.565940976142883,جامعه,University,0.674919366836548,بابلو,Pablo,0.662078499794006,🍃,0.744366228580475,المفتاح,the key,0.330599099397659,ومصراته,and Misrata,0.605011522769928,🇵🇸,,0.43385037779808
الفصيله :,0.329361885786057,هه,0.796700477600098,🇶🇦,0.534609258174896,فلل,0.391859143972397,science,0.487356662750244,هل,0.595991611480713,كوڤيد,0.652813136577606,تعليم_مكه,0.585455536842346,تعليم_عسير,0.438185006380081,شكرا_مدرستي_واسرتي,0.394762843847275,لعوده_حضوريه_امنه,0.420791178941727,بورسعيد,Port Said,0.397303938865662,ينهزم,defeated,0.562217175960541,دارس,study,0.65810090303421,بيغني,sing,0.650997281074524,🌿,0.727547585964203,♾,♾,0.320805937051773,اجدابيا,Ajdabiya,0.600999474525452,القدس_و,Jerusalem_and,0.433128029108048
فئه A,0.326430529356003,😂,0.77818489074707,عمان,0.534188628196716,شقه,0.390493482351303,english,0.483235627412796,بالضبط,0.589394688606262,COVID,0.605615079402924,تعليم_الرياض,0.581294059753418,الفهم_القرائي,0.435841351747513,مدارسنا_باعيننا,0.388797014951706,تعليم_الاحساء,0.419863641262054,بنها,Banha,0.397214502096176,يخسر,loses,0.559613823890686,خريجه,graduate,0.654100656509399,مارو,Maru,0.636396110057831,⚘,0.694758176803589,◉,◉,0.320629000663757,ترهونه,Tarhunah,0.561499834060669,دوله_عربيه,Arab country,0.431086838245392
- O,0.313769608736038,😬,0.762484431266785,🇯🇴,0.533363699913025,دوبلكس,0.384226769208908,تخصصي,0.478168815374374,وليش,0.587116360664368,بـكوفيد-,0.600813090801239,تعليم_الرس,0.574290990829468,تعليم_الزلفي,0.435184091329575,منظومه_التعليم_الموحد,0.38197523355484,تعليم_الطائف,0.418212950229645,اسيوط,Asyut,0.393886387348175,يهزم,beats,0.541775703430176,مدرس,Teacher,0.643766820430756,كايروكي,Cairokee,0.630724549293518,🌻,0.693701326847076,✅,✅,0.313244253396988,سبها,Sabhā,0.552935063838959,القدس_هي,Jerusalem_hi,0.422169893980026
محتاجين دم,0.307654082775116,😀,0.761841237545013,الحبيبه,0.525510728359222,المونسيه,0.381411612033844,web,0.477410912513733,وين,0.586370289325714,فيروس,0.561127066612244,تعليم_القصيم,0.572998464107513,المساعد_الاداري,0.43508118391037,الفهم_القرائي,0.381056904792786,مكتب_تعليم_جنوب_جده,0.417288810014725,ناو,now,0.391844928264618,يسقط,Drops,0.5411337018013,بكالوريوس,bachelor,0.640092611312866,حماقي,Hamaki,0.625211894512177,💐,0.676734924316406,مفاتيح,keys,0.312499403953552,غريان,Garyan,0.548769354820251,اسرائيل_سقطت,Israel fell,0.419366329908371
